case_id,control_id,propensity_distance
OAS2_0007,OAS2_0124,0.0001310341255595926
OAS2_0007,OAS2_0113,0.00012244450396575735
OAS2_0007,OAS2_0172,5.6319947315530694e-05
OAS2_0014,OAS2_0112,5.3764098200653754e-05
OAS2_0014,OAS2_0108,0.004311648652215311
OAS2_0028,OAS2_0111,0.021515970728616163
OAS2_0028,OAS2_0080,0.0007247283919729619
OAS2_0046,OAS2_0099,0.0
OAS2_0046,OAS2_0037,0.000936491570031478
OAS2_0050,OAS2_0134,0.0011155027332585
OAS2_0050,OAS2_0021,0.0015277922633080698
OAS2_0079,OAS2_0009,0.0022080244420494277
OAS2_0079,OAS2_0134,0.0010498362354741664
OAS2_0079,OAS2_0182,0.00012285975217712908
OAS2_0089,OAS2_0175,0.0033807516546490723
OAS2_0089,OAS2_0021,0.0022293076196620576
OAS2_0104,OAS2_0175,0.0031097998554197037
OAS2_0104,OAS2_0134,0.0036812148636145015
OAS2_0114,OAS2_0021,0.0004814087735324768
OAS2_0114,OAS2_0058,9.649394454372406e-05
OAS2_0150,OAS2_0113,0.00030623684719821576
OAS2_0150,OAS2_0172,0.00028152112674378893
OAS2_0160,OAS2_0140,0.0
OAS2_0160,OAS2_0058,0.00014480243724998565
OAS2_0181,OAS2_0137,0.0003521281369136542
OAS2_0181,OAS2_0075,5.6068050096724775e-05
OAS2_0181,OAS2_0108,0.0024275491728217857
OAS2_0184,OAS2_0175,6.34879894160223e-05
OAS2_0184,OAS2_0182,0.0006138700795365604
